Alfred V Aho,1996
Alex Aiken,2008
Andrew W Appel,1998
Arvind,2006
David F Bacon,2009
Thomas J Ball,2011
Guy Blelloch,2011
Hans-J. Boehm,2012
James C Browne,1998
Michael J Carey,2000
Robert S Cartwright,1998
Keith D Cooper,2005
Jack Davidson,2008
Jack Dennis,1994
Stuart Feldman,1995
Matthias Felleisen,2006
Kathleen S Fisher,2010
Phillip B Gibbons,2006
Susan L Graham,1994
David Paul Grove,2012
Rajiv Gupta,2009
Brent T Hailpern,2003
Robert Harper,2005
Mary Harrold,2003
Laurie J Hendren,2009
Paul Hudak,2003
Wen-Mei Hwu,2002
Gregor Kiczales,2012
Monica S Lam,2007
John Launchbury,2010
Paul G Lowney,2008
David B MacQueen,1999
Satoshi Matsuoka,2011
Kathryn Mckinley,2008
Barton P Miller,2001
Eliot Moss,2007
Simon L Peyton-Jones,2004
Benjamin C Pierce,2012
Keshav K Pingali,2012
Andrew M Pitts,2012
Thomas Reps,2005
Barbara G Ryder,1998
Jean E Sammet,1994
Michael Scott,2006
Ravi Sethi,1996
Burton J Smith,1994
Mary Lou Soffa,1999
Josep Torrellas,2010
Dean M Tullsen,2011
David M Ungar,2010
Philip Wadler,2007
Mark Wegman,1996
Reinhard Wilhelm,2000
David Wise,2004
Frank Kenneth Zadeck,2011
